storm_length,avg_lat,avg_lon
1,33.67,-98.2
1,29.52,-95.1
2,30.285,-98.845
1,30.67,-94.0
1,29.85,-94.0
3,28.573333333333334,-96.60666666666667
2,31.134999999999998,-97.92
1,32.73,-97.12
7,31.56714285714286,-97.01714285714287
1,32.48,-94.28
1,28.62,-96.77
4,32.345,-97.0475
3,30.7,-94.00666666666666
11,31.319999999999997,-96.77454545454545
2,30.95,-94.065
1,32.53,-96.2
1,29.97,-95.72
1,31.62,-97.2
1,33.92,-98.52
2,31.560000000000002,-97.39
1,32.33,-96.5
11,32.02363636363636,-97.12909090909092
1,32.37,-100.87
10,32.362,-99.282
1,29.85,-94.17
1,33.22,-102.75
2,33.974999999999994,-102.56
2,35.34,-101.845
5,30.498,-98.68400000000001
1,29.93,-93.9
4,31.83,-99.81500000000001
5,33.304,-100.612
3,33.199999999999996,-97.17666666666666
1,29.8,-95.02
1,30.87,-103.02
1,35.4,-101.2
1,32.88,-96.77
7,32.86,-97.11857142857143
3,32.88,-97.71333333333332
1,31.85,-102.32
2,33.5,-102.4
3,33.699999999999996,-101.25666666666666
1,31.1,-97.33
1,31.32,-98.38
2,30.035,-94.58500000000001
1,30.4,-98.2
5,32.214000000000006,-95.49600000000001
1,30.75,-95.38
1,29.03,-95.23
2,29.735,-94.825
3,29.826666666666664,-94.84666666666668
6,28.5,-96.90833333333335
1,32.75,-97.33
2,29.685000000000002,-94.75
1,26.78,-97.6
1,34.62,-101.77
1,29.65,-97.0
1,29.68,-94.2
1,33.02,-99.83
1,30.42,-94.17
1,33.65,-102.05
1,35.6,-101.2
1,29.92,-94.03
1,32.72,-100.92
1,26.07,-97.37
2,27.6,-97.28
1,27.55,-97.7
1,33.53,-102.32
2,32.415,-97.08
1,30.07,-97.7
1,30.02,-94.03
1,30.33,-95.5
1,29.65,-97.27
1,32.95,-96.45
1,33.0,-96.72
1,30.63,-97.12
6,32.77833333333333,-95.58
1,30.15,-94.17
2,32.935,-96.34
1,30.33,-94.27
1,29.87,-96.45
1,31.3,-94.27
1,32.1,-94.6
1,30.07,-94.12
3,34.09666666666667,-101.93333333333334
5,31.218,-94.854
1,34.85,-100.3
2,32.620000000000005,-97.08
2,31.634999999999998,-97.24000000000001
1,32.13,-101.62
2,35.775000000000006,-100.93
1,34.02,-98.42
5,33.361999999999995,-95.94200000000001
1,31.42,-103.48
1,34.9,-100.27
3,29.613333333333333,-98.67999999999999
1,33.67,-95.38
3,32.623333333333335,-101.91666666666667
3,30.86,-99.28666666666668
1,27.77,-98.25
2,33.115,-97.175
1,31.48,-103.23
1,34.43,-100.42
2,34.394999999999996,-102.1
2,32.485,-97.93
1,34.0,-102.17
1,31.37,-100.62
2,29.725,-96.915
3,34.06333333333333,-101.95
6,33.831666666666656,-101.24000000000001
2,33.75,-99.74
4,34.0425,-98.635
1,35.27,-100.9
3,32.28333333333333,-102.48
2,31.5,-100.17500000000001
1,34.72,-100.53
2,33.17,-97.85
1,27.78,-97.95
1,29.78,-95.57
1,30.08,-93.78
1,31.93,-105.2
2,35.980000000000004,-102.06
1,29.9,-97.5
1,29.4,-94.8
2,33.400000000000006,-100.83500000000001
2,30.0,-95.64
1,30.07,-95.62
2,29.455,-95.59
1,27.63,-97.33
2,28.255,-96.83500000000001
8,30.3125,-94.75999999999999
6,32.22833333333333,-97.46999999999998
8,31.39,-96.1625
1,29.57,-95.07
1,33.1,-101.52
5,31.432,-94.458
2,33.64,-100.94999999999999
1,33.35,-99.62
1,32.27,-98.93
1,35.43,-100.82
4,34.71,-98.615
2,33.685,-96.67500000000001
1,32.35,-97.4
2,29.67,-94.15
9,30.63222222222222,-95.81555555555558
1,31.65,-100.18
1,30.18,-97.85
3,30.793333333333333,-97.94666666666667
4,28.9875,-98.31500000000001
3,31.393333333333334,-101.32333333333334
3,35.41,-101.56666666666666
5,32.568,-98.064
2,31.525,-95.725
4,29.3975,-99.17
1,31.12,-97.35
1,33.38,-100.32
5,33.525999999999996,-100.624
3,29.883333333333336,-97.95
1,29.58,-97.8
3,32.28333333333333,-99.24000000000001
1,33.67,-97.92
4,35.07,-101.87
5,31.689999999999998,-97.052
5,32.36399999999999,-98.11600000000001
2,32.745000000000005,-98.41
4,28.025000000000002,-96.11999999999999
1,34.5,-101.47
1,29.45,-95.13
1,28.83,-95.65
2,36.16,-101.34
1,28.95,-95.33
